Fecha Inicio Caida,Fecha Fin Caida,Hora Inicio Caida,Hora Fin Caida,Diferencia,Diferencia en segundos
2020-04-24,2020-04-24,22:38:54,22:41:18,00:02:24,144
2020-04-25,2020-04-25,17:15:03,17:18:51,00:03:48,228
2020-04-26,2020-04-26,20:32:53,20:35:06,00:02:13,133
2020-04-27,2020-04-27,09:00:28,09:17:51,00:17:23,1043
2020-04-27,2020-04-27,09:27:24,10:02:11,00:34:47,2087
2020-04-27,2020-04-27,20:52:41,20:58:25,00:05:44,344
2020-04-27,2020-04-27,21:23:56,21:25:59,00:02:03,123
2020-04-27,2020-04-27,21:31:14,21:33:16,00:02:02,122
2020-04-29,2020-04-29,16:58:57,17:01:35,00:02:38,158
2020-05-02,2020-05-02,08:31:00,08:33:07,00:02:07,127
2020-05-04,2020-05-04,21:20:13,21:23:51,00:03:38,218
2020-05-05,2020-05-05,09:39:40,09:42:03,00:02:23,143
2020-05-08,2020-05-08,12:44:22,12:48:10,00:03:48,228
2020-05-11,2020-05-11,10:22:46,10:31:08,00:08:22,502
2020-05-12,2020-05-12,14:15:35,14:17:39,00:02:04,124
2020-05-14,2020-05-14,19:28:26,19:31:05,00:02:39,159
2020-05-15,2020-05-15,20:21:55,20:24:05,00:02:10,130
2020-05-16,2020-05-16,08:01:48,08:04:00,00:02:12,132
2020-05-16,2020-05-16,20:18:03,20:20:38,00:02:35,155
2020-05-18,2020-05-18,06:52:51,06:57:06,00:04:15,255
2020-05-19,2020-05-19,13:43:11,13:45:29,00:02:18,138
2020-05-19,2020-05-19,22:44:50,22:47:23,00:02:33,153
2020-05-19,2020-05-19,23:36:34,23:40:47,00:04:13,253
2020-05-20,2020-05-20,11:59:46,12:01:56,00:02:10,130
2020-05-20,2020-05-21,23:58:03,00:00:40,00:02:37,157
2020-05-21,2020-05-21,14:36:57,14:39:05,00:02:08,128
2020-05-22,2020-05-22,20:50:42,20:52:55,00:02:13,133
2020-05-23,2020-05-23,00:09:25,00:11:31,00:02:06,126
2020-05-23,2020-05-23,22:06:29,22:08:34,00:02:05,125
Segundos Totales,7898,Rango de fecha en segundos,2591999,Porcentaje Total,0.30470690768013414

Reporte realizado del Fri Apr 24 2020 19:00:00 GMT-0500 (hora estándar de Perú) al Sun May 24 2020 18:59:59 GMT-0500 (hora estándar de Perú)
